x,y,z,resistivity,chargeability,spontaneous_potential,xA,xB,xM,xN,dev_m,vmn,iab,profil_id
511161,458800,569,171.96,9.87,43.93,458800,9999999,458850,458900,0.5,139.575,510,profil 7
511161,458800,569,228.81,18.76,-63.73,458800,9999999,458900,458950,0.06,61.907,510,profil 7
511161,458800,569,383.79,17.33,25.98,458800,9999999,458950,459000,0.03,51.92,510,profil 7
511161,458800,569,736.01,13.46,152.33,458800,9999999,459000,459050,0.07,59.741,510,profil 7
511161,458800,569,810.32,15.61,-158.04,458800,9999999,459050,459100,0.07,43.849,510,profil 7
511161,458800,569,964.49,19.49,-19.78,458800,9999999,459100,459150,0.27,37.279,510,profil 7
511161,458800,569,993.81,16.77,24.46,458800,9999999,459150,459200,0.44,28.809,510,profil 7
511161,458800,569,758.48,11.16,-35.15,458800,9999999,459200,459250,0.24,17.101,510,profil 7
511161,458800,569,1321.26,12.33,-2.1,458800,9999999,459250,459300,0.28,23.832,510,profil 7
511161,458800,569,995.85,16.0,48.85,458800,9999999,459300,459350,0.79,14.697,510,profil 7
511161,458800,569,171.48,9.81,40.92,458800,9999999,458850,458900,0.02,139.191,510,profil 7
511161,458800,569,228.26,18.85,-59.98,458800,9999999,458900,458950,0.06,61.758,510,profil 7
511161,458800,569,382.93,17.33,26.07,458800,9999999,458950,459000,0.03,51.803,510,profil 7
511161,458800,569,734.28,13.53,152.14,458800,9999999,459000,459050,0.05,59.601,510,profil 7
511161,458800,569,807.91,15.28,-157.49,458800,9999999,459050,459100,0.56,43.718,510,profil 7
511161,458800,569,963.01,20.2,-22.13,458800,9999999,459100,459150,0.62,37.222,510,profil 7
511161,458800,569,991.17,16.34,26.99,458800,9999999,459150,459200,0.13,28.733,510,profil 7
511161,458800,569,756.96,11.09,-35.5,458800,9999999,459200,459250,0.2,17.067,510,profil 7
511161,458800,569,1318.35,12.67,-4.0,458800,9999999,459250,459300,0.23,23.78,510,profil 7
511161,458800,569,994.04,15.76,50.79,458800,9999999,459300,459350,0.54,14.67,510,profil 7
511160,458851,570,151.13,17.93,-55.9,458850,9999999,458900,458950,0.18,99.824,415,profil 7
511160,458851,570,291.84,16.2,8.74,458850,9999999,458950,459000,0.15,64.253,415,profil 7
511160,458851,570,609.49,12.43,79.99,458850,9999999,459000,459050,0.07,67.094,415,profil 7
511160,458851,570,700.95,14.48,-31.6,458850,9999999,459050,459100,0.06,46.297,415,profil 7
511160,458851,570,868.98,18.94,-86.81,458850,9999999,459100,459150,0.26,38.264,415,profil 7
511160,458851,570,923.01,15.69,32.98,458850,9999999,459150,459200,0.5,29.031,415,profil 7
511160,458851,570,721.34,10.3,-37.35,458850,9999999,459200,459250,1.06,17.016,415,profil 7
511160,458851,570,1182.42,11.4,29.09,458850,9999999,459250,459300,0.3,21.694,415,profil 7
511160,458851,570,1144.26,15.74,28.46,458850,9999999,459300,459350,0.55,16.795,415,profil 7
511160,458851,570,945.9,17.11,43.59,458850,9999999,459350,459400,1.4,11.359,415,profil 7
511161,458900,573,188.11,14.55,113.71,458900,9999999,458950,459000,0.05,134.727,450,profil 7
511161,458900,573,404.1,12.28,-48.01,458900,9999999,459000,459050,0.03,96.473,450,profil 7
511161,458900,573,562.61,14.38,-49.6,458900,9999999,459050,459100,0.2,67.157,450,profil 7
511161,458900,573,652.8,18.66,-33.94,458900,9999999,459100,459150,0.29,46.753,450,profil 7
511161,458900,573,808.99,15.25,-28.39,458900,9999999,459150,459200,0.25,38.626,450,profil 7
511161,458900,573,584.68,9.92,15.82,458900,9999999,459200,459250,0.91,19.94,450,profil 7
511161,458900,573,1178.15,10.27,40.52,458900,9999999,459250,459300,2.38,30.135,450,profil 7
511161,458900,573,934.6,17.24,-7.55,458900,9999999,459300,459350,3.64,18.593,450,profil 7
511161,458900,573,880.41,17.09,42.48,458900,9999999,459350,459400,0.47,14.012,450,profil 7
511161,458900,573,1019.59,18.15,-11.49,458900,9999999,459400,459450,0.41,13.277,450,profil 7
511161,458900,573,188.03,14.53,116.49,458900,9999999,458950,459000,0.05,134.669,450,profil 7
511161,458900,573,403.83,12.23,-50.76,458900,9999999,459000,459050,0.09,96.408,450,profil 7
511161,458900,573,562.14,14.33,-49.38,458900,9999999,459050,459100,0.14,67.1,450,profil 7
511161,458900,573,652.59,18.59,-33.98,458900,9999999,459100,459150,0.14,46.738,450,profil 7
511161,458900,573,808.35,15.35,-33.23,458900,9999999,459150,459200,0.19,38.596,450,profil 7
