El-array,xA(m),xB(m),xM(m),xN(m),Rho (Ohm.m),Dev.,M (mV/V),SP (mV) ,VMN (mV),IAB (mA),LAT,LON,AB/2,MN/2,h,POS
Schlum. VES,0,45,15,30,3270.62,2.57,11.55,28.01,14.185,0.409,4.707200127,12.34385219,22.5,7.5,8.55,60
Schlum. VES,0,105,45,60,2253.09,1.93,11.51,30.33,15.03,3.772,4.707200127,12.34385219,52.5,7.5,19.95,150
Schlum. VES,0,165,75,90,3721.48,0.6,14.04,79.01,15.159,5.759,4.707200127,12.34385219,82.5,7.5,31.35,240
Schlum. VES,0,195,90,105,3184.34,3.7,13.46,-44.89,15.403,9.573,4.707200127,12.34385219,97.5,7.5,37.05,285
Schlum. VES,0,225,105,120,4116.99,1.59,9.78,45.46,15.245,9.772,4.707200127,12.34385219,112.5,7.5,42.75,330
Schlum. VES,0,255,120,135,5245.51,0.72,10.44,85.08,15.173,9.815,4.707200127,12.34385219,127.5,7.5,48.45,375
Schlum. VES,0,285,135,150,4282.74,2.42,11.76,-49.76,15.646,15.494,4.707200127,12.34385219,142.5,7.5,54.15,420
Schlum. VES,0,315,150,165,5465.39,5.22,13.43,-29.18,15.417,14.622,4.707200127,12.34385219,157.5,7.5,59.85,465
Schlum. VES,0,345,165,180,4353.55,1.91,9.61,-7.59,15.46,22.089,4.707200127,12.34385219,172.5,7.5,65.55,510
Schlum. VES,0,375,180,195,5257.61,5.29,13.08,-22.58,15.696,21.947,4.707200127,12.34385219,187.5,7.5,71.25,555
Schlum. VES,0,405,195,210,5937.62,2.3,10.12,22.22,15.489,22.372,4.707200127,12.34385219,202.5,7.5,76.95,600
Schlum. VES,0,435,210,225,5432.6,3.44,12.46,-11.38,15.474,28.188,4.707200127,12.34385219,217.5,7.5,82.65,645
Schlum. VES,0,465,225,240,5844.78,6.02,10.96,-19.39,15.474,29.943,4.707200127,12.34385219,232.5,7.5,88.35,690
Schlum. VES,0,495,240,255,7009.95,2.61,8.54,17.31,15.36,28.085,4.707200127,12.34385219,247.5,7.5,94.05,735
Schlum. VES,15,60,30,45,2874.51,7.87,14.54,-19.62,13.698,0.449,4.706452712,12.3439071,22.5,7.5,8.55,75
Schlum. VES,15,120,60,75,2897.87,5.12,15.73,-48.91,15.037,2.934,4.706452712,12.3439071,52.5,7.5,19.95,165
Schlum. VES,15,150,75,90,3332.8,0.45,15.05,128.8,15.087,4.267,4.706452712,12.3439071,67.5,7.5,25.65,210
