x,y,z,resistivity,chargeability,profil_id
510571,459017,583,67.67,18.88,profil 1
510571,459017,583,89.42,21.31,profil 1
510571,459017,583,235.04,21.03,profil 1
510571,459017,583,387.7,19.9,profil 1
510571,459017,583,1519.29,14.07,profil 1
510571,459017,583,1787.61,16.21,profil 1
510571,459017,583,916.39,15.64,profil 1
510571,459017,583,310.37,10.19,profil 1
510571,459017,583,216.67,14.54,profil 1
510571,459017,583,67.65,19.14,profil 1
510571,459017,583,89.53,21.99,profil 1
510571,459017,583,234.66,21.06,profil 1
510571,459017,583,387.55,19.41,profil 1
510571,459017,583,1519.61,14.19,profil 1
510571,459017,583,1787.27,16.01,profil 1
510571,459017,583,917.07,15.59,profil 1
510571,459017,583,311.12,10.39,profil 1
510571,459017,583,214.73,14.4,profil 1
510571,459017,583,67.55,19.04,profil 1
510571,459017,583,89.35,21.78,profil 1
510571,459017,583,234.34,21.17,profil 1
510571,459017,583,387.06,19.54,profil 1
510571,459017,583,1516.98,14.17,profil 1
510571,459017,583,1428.54,15.85,profil 1
510571,459017,583,474.61,15.92,profil 1
510571,459017,583,304.78,14.68,profil 1
510571,459017,583,310.48,10.15,profil 1
510571,459017,583,216.3,15.68,profil 1
510625,459011,582,76.77,18.72,profil 1
510625,459011,582,157.79,22.3,profil 1
510625,459011,582,289.31,20.9,profil 1
510625,459011,582,1189.66,14.71,profil 1
510625,459011,582,1206.2,16.71,profil 1
510625,459011,582,407.4,16.87,profil 1
510625,459011,582,264.73,15.06,profil 1
510625,459011,582,285.36,11.7,profil 1
510625,459011,582,199.15,16.71,profil 1
510625,459011,582,327.66,19.58,profil 1
510625,459011,582,76.74,18.71,profil 1
510625,459011,582,157.7,22.36,profil 1
510625,459011,582,289.14,20.97,profil 1
510625,459011,582,1189.11,14.79,profil 1
510625,459011,582,1205.79,16.78,profil 1
510625,459011,582,407.16,17.03,profil 1
510625,459011,582,264.48,14.91,profil 1
510625,459011,582,285.18,11.58,profil 1
510625,459011,582,198.86,17.63,profil 1
510625,459011,582,327.08,18.57,profil 1
510676,459019,581,103.46,22.87,profil 1
510676,459019,581,211.41,21.96,profil 1
510676,459019,581,933.19,15.46,profil 1
510676,459019,581,1052.52,17.36,profil 1
510676,459019,581,362.65,17.11,profil 1
510676,459019,581,239.01,14.79,profil 1
510676,459019,581,274.74,11.82,profil 1
510676,459019,581,193.35,20.74,profil 1
510676,459019,581,290.33,19.39,profil 1
510676,459019,581,514.87,18.92,profil 1
510676,459019,581,103.45,22.91,profil 1
510676,459019,581,211.37,21.93,profil 1
510676,459019,581,933.1,15.47,profil 1
510676,459019,581,1052.36,17.36,profil 1
510676,459019,581,362.47,17.27,profil 1
510676,459019,581,239.04,15.08,profil 1
510676,459019,581,275.4,14.84,profil 1
510676,459019,581,192.33,13.86,profil 1
510676,459019,581,289.93,18.92,profil 1
510676,459019,581,514.05,18.21,profil 1
510721,459023,578,117.6,22.38,profil 1
510721,459023,578,602.32,16.0,profil 1
510721,459023,578,803.7,17.83,profil 1
510721,459023,578,292.11,17.77,profil 1
510721,459023,578,198.66,15.34,profil 1
510721,459023,578,246.44,14.19,profil 1
510721,459023,578,172.93,18.89,profil 1
510721,459023,578,242.17,20.26,profil 1
510721,459023,578,453.64,20.96,profil 1
510721,459023,578,290.1,19.0,profil 1
510721,459023,578,117.48,22.4,profil 1
510721,459023,578,601.81,15.98,profil 1
510721,459023,578,802.84,18.17,profil 1
510721,459023,578,291.9,17.2,profil 1
510721,459023,578,198.59,15.03,profil 1
510721,459023,578,246.26,14.38,profil 1
510721,459023,578,173.09,19.67,profil 1
510721,459023,578,242.97,18.02,profil 1
510721,459023,578,452.74,20.73,profil 1
510721,459023,578,290.52,26.0,profil 1
510770,459017,575,501.3,14.65,profil 1
510770,459017,575,882.45,16.72,profil 1
510770,459017,575,318.13,16.57,profil 1
510770,459017,575,216.61,14.0,profil 1
510770,459017,575,288.27,13.93,profil 1
510770,459017,575,201.47,18.31,profil 1
510770,459017,575,238.04,18.86,profil 1
510770,459017,575,721.58,21.36,profil 1
510770,459017,575,552.93,21.31,profil 1
510821,459023,568,902.62,14.46,profil 1
510821,459023,568,355.38,15.2,profil 1
510821,459023,568,245.16,12.17,profil 1
510821,459023,568,341.38,12.77,profil 1
510821,459023,568,238.58,16.74,profil 1
510821,459023,568,241.67,17.65,profil 1
510821,459023,568,456.18,20.17,profil 1
510821,459023,568,357.43,20.61,profil 1
510821,459023,568,265.27,15.82,profil 1
510821,459023,568,86.68,9.59,profil 1
510870,459019,576,1193.21,13.05,profil 1
510870,459019,576,801.66,9.55,profil 1
510870,459019,576,1009.69,8.68,profil 1
510870,459019,576,655.28,12.1,profil 1
510870,459019,576,535.91,13.18,profil 1
510870,459019,576,885.45,16.65,profil 1
