x,y,z,resistivity,chargeability
509820,459090,652,339.78,21.26
511158,459401,586,526.18,16.27
510870,459035,578,790.26,16.07
509970,459090,630,278.82,18.28
510072,459191,596,303.77,21.58
511157,459650,587,803.1,17.43
511121,459014,576,357.22,15.89
509770,459110,624,70.65,19.24
511157,459351,587,1115.21,17.98
510923,459037,581,1178.21,15.32
510020,459110,587,58.29,9.77
510122,459191,595,351.01,17.05
510011,459501,610,772.98,15.25
511073,459060,579,367.26,11.5
509989,459650,611,246.87,15.83
511125,458850,568,253.44,12.77
510324,459194,599,199.59,15.85
510817,459036,571,281.79,17.13
510168,459163,595,132.51,22.87
510068,459164,593,540.38,19.53
509601,459395,602,46.55,26.46
510011,459600,611,315.04,17.06
509920,459110,625,262.98,19.03
509823,459192,598,89.93,14.16
509550,459458,620,32.73,22.79
511124,459154,577,208.33,12.7
509870,459090,651,406.89,17.09
509800,459444,604,134.8,17.65
510521,459190,598,580.71,13.64
511320,459021,570,1306.18,12.55
509700,459452,605,91.06,16.99
510100,459398,604,1169.0,15.59
509993,459450,610,425.92,16.16
511018,459099,577,783.75,15.71
511071,459043,576,477.43,15.97
511162,458951,572,807.11,18.29
509992,459100,589,319.53,13.81
509989,459650,611,38.12,15.64
509750,459395,602,61.73,27.09
511010,458997,574,569.14,10.25
509899,459397,599,173.26,22.48
509700,459396,601,37.58,29.95
511372,459061,573,834.68,12.63
510011,459550,610,517.44,14.37
510010,459200,593,202.08,18.69
510012,459100,590,229.07,13.27
511071,459043,576,488.68,15.69
511123,458802,569,1030.14,19.06
509850,459400,600,77.95,19.19
511124,459251,580,1490.74,16.24
509823,459192,598,146.93,14.53
510270,459170,596,206.08,21.71
510012,459300,597,1005.44,14.41
510622,459038,581,1215.24,14.33
509767,459169,595,59.27,14.39
511020,459017,576,579.75,16.55
509800,459444,604,98.46,20.83
510625,459011,582,1206.2,16.71
511129,459400,579,120.04,18.66
510770,459017,575,201.47,18.31
510012,459100,590,382.15,14.42
509992,459100,589,304.03,14.87
511160,459200,578,643.84,17.71
510072,459191,596,159.49,24.14
511160,459251,578,1268.63,16.57
511159,459300,586,1223.32,17.78
510273,459194,595,367.08,17.89
509650,459454,604,78.44,27.71
510273,459194,595,268.79,21.35
510571,459017,583,1787.27,16.01
509850,459400,600,89.73,28.81
510670,459057,581,1304.04,16.35
511010,458900,569,867.01,10.22
510012,459100,590,105.17,15.25
511070,459019,576,536.08,12.97
510824,459058,573,542.98,21.77
511157,459351,587,681.51,14.09
510100,459448,608,768.48,14.82
510220,459110,593,88.81,20.61
510050,459398,608,1391.65,16.6
510324,459194,599,285.06,19.36
510270,459110,593,105.93,15.87
509650,459454,604,109.71,16.21
511020,459150,581,208.38,16.88
509986,459300,601,311.46,13.79
509992,459100,589,320.57,13.81
510668,459038,577,901.48,17.35
510013,459150,592,439.79,15.13
510921,459019,583,619.32,12.7
510171,459191,594,334.71,16.16
509824,459167,594,98.96,14.78
510012,459350,604,587.16,14.62
510571,459017,583,214.73,14.4
510770,459039,578,487.7,15.52
511016,459050,576,921.4,16.29
509850,459400,600,78.31,19.34
509991,459550,614,855.74,18.43
509925,459165,583,213.42,11.78
510370,459170,598,220.52,17.39
511018,459062,580,363.34,19.83
510220,459188,596,263.73,19.71
510120,459110,592,199.0,15.6
509989,459650,611,766.01,19.66
510270,459170,596,129.94,16.37
510824,459058,573,423.24,21.42
511161,458800,569,807.91,15.28
511013,458849,567,1066.35,15.15
510220,459110,593,110.41,15.2
509770,459110,624,98.85,24.82
509992,459850,611,46.68,26.73
510010,459200,593,264.99,16.72
509991,459400,608,252.91,17.88
509799,459398,602,106.24,22.85
511160,459200,578,269.73,15.26
510012,459350,604,526.13,13.87
510520,459110,596,425.05,22.64
511125,459201,579,280.97,13.16
511129,459001,572,1086.65,15.1
510070,459090,607,66.32,10.83
509824,459167,594,144.29,14.07
510870,459019,576,1009.69,8.68
510370,459170,598,212.96,15.71
511159,459300,586,1219.88,18.04
510220,459092,601,67.61,16.83
509800,459444,604,66.04,19.85
510010,459450,609,224.04,20.3
510100,459398,604,1004.44,17.7
510676,459019,581,1052.52,17.36
510011,459550,610,204.47,23.21
511170,459060,578,277.8,10.09
511022,459402,590,982.66,17.3
509988,459150,590,433.91,17.09
509970,459090,630,369.27,13.54
509987,460000,603,96.06,32.84
509970,459110,625,69.48,15.73
510220,459170,596,216.28,13.1
509870,459110,625,119.67,24.06
511018,459099,577,195.87,16.86
509823,459192,598,88.58,17.39
510370,459090,601,162.71,19.29
511229,459038,570,1020.93,14.17
511121,459014,576,861.99,15.13
511014,458800,566,689.93,13.94
510676,459019,581,362.65,17.11
511159,459151,578,1490.93,18.45
510571,459017,583,310.48,10.15
509601,459395,602,51.13,16.82
511073,459060,579,789.73,15.46
510000,459398,610,1296.85,15.36
510012,459250,595,271.55,13.66
510719,459039,575,750.1,17.85
509992,459199,594,237.84,15.29
510020,459110,587,58.73,17.07
510319,459110,593,112.42,19.57
510370,459110,596,286.22,22.31
510520,459090,599,109.36,17.18
511120,459451,582,681.7,15.37
509823,459192,598,365.85,12.29
509799,459398,602,73.63,16.07
511016,459201,586,1508.01,16.76
509700,459452,605,68.74,24.8
509919,459191,589,187.94,15.11
511270,459061,573,900.54,13.17
510170,459110,593,100.22,20.5
511016,459296,594,367.05,10.52
510571,459054,586,277.39,8.29
510068,459164,593,199.51,23.26
510068,459164,593,73.6,22.73
509823,459192,598,335.98,14.68
510870,459035,578,789.88,15.93
510012,459350,604,551.39,13.9
509968,459170,584,241.76,14.75
509991,459800,612,93.69,26.3
511161,458900,573,562.61,14.38
510521,459173,606,382.94,10.57
510010,459200,593,782.44,15.58
510011,459600,611,67.77,12.22
510010,459450,609,805.45,14.4
510625,459011,582,407.4,16.87
511160,459200,578,1416.76,17.39
509700,459396,601,37.62,29.47
511125,458850,568,148.75,15.55
511221,459020,575,1188.7,14.45
511123,458802,569,328.49,14.34
509950,459441,605,207.34,11.4
509650,459454,604,67.76,21.24
509550,459392,608,156.61,18.45
510250,459399,602,1096.0,18.21
510319,459110,593,137.02,11.6
509700,459396,601,44.35,23.06
509950,459399,606,167.61,19.71
510370,459170,598,329.01,21.61
510012,459100,590,376.3,14.42
510270,459090,600,46.53,22.92
510670,459057,581,379.59,29.24
509550,459392,608,155.45,17.53
511160,458851,570,1182.42,11.4
511020,459150,581,467.69,10.96
510000,459398,610,409.22,11.82
511010,458997,574,570.32,10.28
510721,459023,578,803.7,17.83
509993,459450,610,229.85,3.65
509875,459190,595,196.52,17.21
510872,459059,578,356.97,9.3
509767,459169,595,59.22,17.54
511320,459037,574,1546.28,12.19
510000,459398,610,409.59,12.08
511129,459001,572,1082.93,16.75
509870,459110,625,460.68,15.35
511071,459043,576,513.96,12.52
511161,458800,569,171.48,9.81
510621,459055,583,263.22,9.36
510022,459171,591,500.19,19.88
510921,459063,579,851.43,18.07
510220,459096,601,19.18,20.46
510120,459165,601,229.54,21.87
509650,459394,601,180.74,17.96
509968,459170,584,169.33,16.89
509992,459600,612,138.71,22.71
510824,459058,573,283.93,17.03
510022,459171,591,515.25,14.48
509970,459110,625,183.96,18.49
510870,459035,578,495.13,12.82
511008,459250,588,842.24,18.41
511070,459019,576,537.02,12.72
511020,459042,577,372.02,11.87
509870,459090,651,636.85,16.96
511123,459598,586,419.54,19.49
510010,459450,609,807.66,13.63
509750,459395,602,213.5,23.41
510010,459700,613,502.38,15.28
510621,459055,583,397.06,14.48
