x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M,VMN (mV),IAB (mA)
509767,459169,595,68.92,20.72,-63.69,509770,9999999,509870,509920,0.36,16.453,450
509767,459169,595,96.97,17.96,-10.33,509770,9999999,509920,509970,0.52,11.575,450
509767,459169,595,59.22,17.54,-29.79,509770,9999999,509970,510020,0.34,4.242,450
509767,459169,595,61.07,17.06,59.48,509770,9999999,510020,510070,1.09,2.916,450
509767,459169,595,59.39,12.94,44.47,509770,9999999,510070,510120,2.38,2.025,450
509767,459169,595,36.06,7.49,-19.61,509770,9999999,510120,510170,11.86,0.922,450
509767,459169,595,54.18,28.74,72.4,509770,9999999,510170,510220,9.53,1.078,450
509767,459169,595,58.43,11.63,-34.26,509770,9999999,510220,510270,17.06,0.93,450
509767,459169,595,30.49,22.53,-5.52,509770,9999999,509820,509870,0.22,25.959,535
509767,459169,595,68.73,20.85,-63.3,509770,9999999,509870,509920,0.27,19.507,535
509767,459169,595,96.75,17.78,-10.71,509770,9999999,509920,509970,0.25,13.729,535
509767,459169,595,59.02,17.45,-29.63,509770,9999999,509970,510020,0.35,5.026,535
509767,459169,595,60.96,16.66,60.1,509770,9999999,510020,510070,0.44,3.461,535
509767,459169,595,59.27,14.39,43.87,509770,9999999,510070,510120,1.14,2.403,535
509767,459169,595,36.63,14.88,-18.83,509770,9999999,510120,510170,3.64,1.114,535
509767,459169,595,53.23,21.44,70.25,509770,9999999,510170,510220,12.33,1.259,535
509767,459169,595,30.5,22.4,-3.55,509770,9999999,509820,509870,0.21,25.97,535
509767,459169,595,68.79,21.09,-63.2,509770,9999999,509870,509920,0.36,19.523,535
509767,459169,595,96.78,17.7,-10.84,509770,9999999,509920,509970,0.26,13.735,535
509767,459169,595,59.06,17.2,-29.38,509770,9999999,509970,510020,0.26,5.029,535
509767,459169,595,60.81,16.39,60.21,509770,9999999,510020,510070,0.46,3.452,535
509767,459169,595,59.37,15.54,43.47,509770,9999999,510070,510120,1.32,2.407,535
509767,459169,595,36.7,13.75,-18.35,509770,9999999,510120,510170,2.48,1.116,535
509767,459169,595,52.77,28.57,69.66,509770,9999999,510170,510220,8.93,1.248,535
509767,459169,595,58.4,26.34,-39.8,509770,9999999,510220,510270,6.45,1.105,535
509824,459167,594,383.96,15.94,-135.9,509820,9999999,509870,509920,0.06,336.1,550
509824,459167,594,417.72,12.09,89.98,509820,9999999,509920,509970,0.05,121.885,550
509824,459167,594,145.12,14.07,-80.7,509820,9999999,509970,510020,0.06,21.171,550
509824,459167,594,105.71,15.44,63.39,509820,9999999,510020,510070,0.21,9.254,550
509824,459167,594,98.96,14.78,11.23,509820,9999999,510070,510120,0.64,5.775,550
509824,459167,594,62.09,16.07,14.74,509820,9999999,510120,510170,0.79,2.588,550
509824,459167,594,75.82,20.8,50.72,509820,9999999,510170,510220,1.29,2.37,550
509824,459167,594,72.22,22.47,-42.54,509820,9999999,510220,510270,1.7,1.756,550
509824,459167,594,24.47,3.87,11.65,509820,9999999,510270,510320,11.68,0.476,550
509824,459167,594,381.78,15.95,-136.16,509820,9999999,509870,509920,0.05,334.192,550
509824,459167,594,415.36,12.09,90.33,509820,9999999,509920,509970,0.05,121.197,550
509824,459167,594,144.29,14.07,-80.59,509820,9999999,509970,510020,0.18,21.05,550
509824,459167,594,105.16,15.98,63.52,509820,9999999,510020,510070,0.47,9.205,550
509824,459167,594,98.4,14.43,11.35,509820,9999999,510070,510120,0.48,5.742,550
509824,459167,594,61.7,16.42,14.89,509820,9999999,510120,510170,0.87,2.572,550
509824,459167,594,75.27,21.53,51.35,509820,9999999,510170,510220,1.96,2.353,550
509824,459167,594,71.83,21.18,-43.45,509820,9999999,510220,510270,1.95,1.746,550
509824,459167,594,24.52,2.43,9.87,509820,9999999,510270,510320,5.22,0.477,550
509870,459169,591,1424.94,12.76,-48.06,509870,9999999,509920,509970,0.0,1474.11,650
509870,459169,591,533.77,13.27,-19.35,509870,9999999,509970,510020,0.02,184.064,650
509870,459169,591,329.71,15.03,14.87,509870,9999999,510020,510070,0.05,56.848,650
509870,459169,591,303.15,14.81,41.74,509870,9999999,510070,510120,0.05,31.361,650
509870,459169,591,193.96,16.84,12.59,509870,9999999,510120,510170,0.21,13.377,650
509870,459169,591,206.99,19.6,64.47,509870,9999999,510170,510220,0.33,10.197,650
509870,459169,591,164.06,21.35,-47.99,509870,9999999,510220,510270,0.62,6.061,650
509870,459169,591,1421.84,12.79,-45.92,509870,9999999,509920,509970,0.04,1470.906,650
509870,459169,591,532.61,13.29,-21.68,509870,9999999,509970,510020,0.05,183.662,650
509870,459169,591,328.97,14.96,19.2,509870,9999999,510020,510070,0.2,56.72,650
509870,459169,591,302.56,14.97,41.73,509870,9999999,510070,510120,0.3,31.3,650
509870,459169,591,193.49,16.8,13.93,509870,9999999,510120,510170,0.66,13.345,650
