x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M (mV/V),VMN (mV),IAB (mA)
510569,459039,586,53.03,25.93,-24.64,510568,9999999,510618,510668,0.03,37.135,440
510569,459039,586,108.09,22.37,8.29,510568,9999999,510668,510718,0.07,25.232,440
510569,459039,586,247.62,22.81,-35.34,510568,9999999,510718,510768,0.05,28.901,440
510569,459039,586,431.9,18.29,56.26,510568,9999999,510768,510818,0.05,30.245,440
510569,459039,586,1596.5,13.95,-127.95,510568,9999999,510818,510868,0.19,74.533,440
510569,459039,586,1337.54,15.93,-30.24,510568,9999999,510868,510918,0.38,44.603,440
510569,459039,586,698.74,17.03,7.26,510568,9999999,510918,510968,0.26,17.475,440
510569,459039,586,378.16,12.26,-37.22,510568,9999999,510968,511018,0.68,7.356,440
510569,459039,586,345.0,11.21,-10.2,510568,9999999,511018,511068,0.65,5.369,440
510569,459039,586,321.99,14.34,24.14,510568,9999999,511068,511118,1.19,4.1,440
510569,459039,586,53.04,25.9,-24.92,510568,9999999,510618,510668,0.09,37.146,440
510569,459039,586,108.14,22.34,8.55,510568,9999999,510668,510718,0.08,25.242,440
510569,459039,586,247.76,22.87,-35.36,510568,9999999,510718,510768,0.08,28.917,440
510569,459039,586,432.03,18.2,55.55,510568,9999999,510768,510818,0.06,30.254,440
510569,459039,586,1597.81,13.97,-126.7,510568,9999999,510818,510868,1.11,74.594,440
510569,459039,586,1337.37,15.92,-30.67,510568,9999999,510868,510918,1.88,44.597,440
510569,459039,586,698.51,16.65,8.61,510568,9999999,510918,510968,0.38,17.47,440
510569,459039,586,378.84,12.8,-38.15,510568,9999999,510968,511018,0.52,7.369,440
510569,459039,586,344.88,11.42,-10.44,510568,9999999,511018,511068,1.19,5.367,440
510569,459039,586,322.44,13.53,23.98,510568,9999999,511068,511118,1.1,4.105,440
510622,459038,581,67.57,23.69,13.02,510618,9999999,510668,510718,0.09,43.018,400
510622,459038,581,152.74,23.45,-46.62,510618,9999999,510718,510768,0.08,32.412,400
510622,459038,581,308.05,18.89,38.66,510618,9999999,510768,510818,0.09,32.685,400
