x,y,z,resistivity,chargeability,SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M (mV/V),VMN (mV),IAB (mA),profil_id
509770,459090,658,102.07,25.64,32.38,509768,9999999,509818,509868,0.07,108.838,670,profil 8
509770,459090,658,126.21,26.42,-86.57,509768,9999999,509868,509918,0.14,44.861,670,profil 8
509770,459090,658,73.65,19.69,32.75,509768,9999999,509918,509968,0.24,13.089,670,profil 8
509770,459090,658,154.44,25.38,-35.68,509768,9999999,509968,510018,0.1,16.468,670,profil 8
509770,459090,658,110.62,19.24,107.8,509768,9999999,510018,510068,3.42,7.864,670,profil 8
509770,459090,658,105.39,25.85,42.59,509768,9999999,510068,510118,5.01,5.351,670,profil 8
509770,459090,658,84.8,23.33,-30.74,509768,9999999,510118,510168,4.34,3.23,670,profil 8
509770,459090,658,134.15,28.7,49.02,509768,9999999,510168,510218,4.32,3.974,670,profil 8
509770,459090,658,137.82,22.72,-31.99,509768,9999999,510268,510318,1.35,2.672,670,profil 8
509770,459090,658,102.32,25.77,31.58,509768,9999999,509818,509868,0.06,109.107,670,profil 8
509770,459090,658,126.5,26.49,-84.27,509768,9999999,509868,509918,0.1,44.962,670,profil 8
509770,459090,658,73.82,19.76,32.8,509768,9999999,509918,509968,0.17,13.12,670,profil 8
509770,459090,658,154.82,25.75,-36.01,509768,9999999,509968,510018,0.09,16.509,670,profil 8
509770,459090,658,110.77,22.05,106.89,509768,9999999,510018,510068,1.82,7.874,670,profil 8
509770,459090,658,105.84,20.69,42.31,509768,9999999,510068,510118,2.84,5.374,670,profil 8
509770,459090,658,84.83,26.25,-33.72,509768,9999999,510118,510168,2.73,3.231,670,profil 8
509770,459090,658,41.93,30.97,-8.42,509768,9999999,510168,510218,7.73,1.242,670,profil 8
509770,459090,658,117.53,32.58,60.7,509768,9999999,510218,510268,8.97,2.785,670,profil 8
509820,459090,652,234.05,16.59,-8.44,509818,9999999,509868,509918,0.09,204.878,550,profil 8
509820,459090,652,150.03,12.86,-9.43,509818,9999999,509918,509968,0.05,43.776,550,profil 8
509820,459090,652,310.82,21.25,-6.81,509818,9999999,509968,510018,0.25,45.347,550,profil 8
509820,459090,652,208.35,18.96,-3.55,509818,9999999,510018,510068,0.59,18.238,550,profil 8
509820,459090,652,193.21,20.11,111.99,509818,9999999,510068,510118,0.27,11.275,550,profil 8
509820,459090,652,134.4,24.48,-46.79,509818,9999999,510118,510168,0.66,5.602,550,profil 8
509820,459090,652,63.49,28.3,26.83,509818,9999999,510168,510218,9.5,1.985,550,profil 8
509820,459090,652,109.76,27.88,11.06,509818,9999999,510218,510268,11.33,2.669,550,profil 8
509820,459090,652,233.86,16.57,-11.41,509818,9999999,509868,509918,0.05,204.713,550,profil 8
509820,459090,652,149.98,12.9,-7.42,509818,9999999,509918,509968,0.11,43.76,550,profil 8
509820,459090,652,310.75,21.11,-5.31,509818,9999999,509968,510018,0.07,45.336,550,profil 8
509820,459090,652,208.16,19.09,-6.63,509818,9999999,510018,510068,0.37,18.222,550,profil 8
509820,459090,652,193.16,20.1,111.06,509818,9999999,510068,510118,0.26,11.272,550,profil 8
509820,459090,652,134.19,24.97,-42.36,509818,9999999,510118,510168,0.64,5.593,550,profil 8
509820,459090,652,63.42,21.87,27.02,509818,9999999,510168,510218,12.97,1.983,550,profil 8
509820,459090,652,109.0,34.92,9.21,509818,9999999,510218,510268,10.72,2.65,550,profil 8
509820,459090,652,245.04,16.7,14.45,509818,9999999,509868,509918,0.06,175.5,450,profil 8
509820,459090,652,163.96,12.85,6.65,509818,9999999,509918,509968,0.17,39.142,450,profil 8
509820,459090,652,339.78,21.26,9.86,509818,9999999,509968,510018,0.13,40.558,450,profil 8
509820,459090,652,227.57,19.1,-4.41,509818,9999999,510018,510068,0.24,16.299,450,profil 8
509820,459090,652,211.15,20.75,83.52,509818,9999999,510068,510118,0.65,10.082,450,profil 8
509820,459090,652,146.62,24.12,-17.88,509818,9999999,510118,510168,1.35,5.001,450,profil 8
509820,459090,652,70.22,32.3,30.1,509818,9999999,510168,510218,4.0,1.796,450,profil 8
509820,459090,652,121.3,25.96,-10.74,509818,9999999,510218,510268,5.93,2.413,450,profil 8
509870,459090,651,284.57,9.91,23.6,509868,9999999,509918,509968,0.09,217.393,480,profil 8
509870,459090,651,635.94,17.03,-16.14,509868,9999999,509968,510018,0.01,161.94,480,profil 8
509870,459090,651,452.87,15.5,0.39,509868,9999999,510018,510068,0.05,57.662,480,profil 8
509870,459090,651,406.54,17.05,80.6,509868,9999999,510068,510118,0.12,31.058,480,profil 8
509870,459090,651,271.63,22.27,6.78,509868,9999999,510118,510168,1.19,13.834,480,profil 8
509870,459090,651,116.88,26.01,-2.64,509868,9999999,510168,510218,3.01,4.252,480,profil 8
509870,459090,651,134.59,23.03,9.52,509868,9999999,510218,510268,10.39,3.672,480,profil 8
509870,459090,651,284.79,9.86,23.17,509868,9999999,509918,509968,0.03,217.56,480,profil 8
509870,459090,651,636.4,17.06,-14.5,509868,9999999,509968,510018,0.03,162.059,480,profil 8
509870,459090,651,453.19,15.59,1.5,509868,9999999,510018,510068,0.09,57.702,480,profil 8
509870,459090,651,406.89,17.09,81.83,509868,9999999,510068,510118,0.1,31.084,480,profil 8
509870,459090,651,271.71,21.77,4.62,509868,9999999,510118,510168,0.64,13.838,480,profil 8
509870,459090,651,116.88,28.66,-3.86,509868,9999999,510168,510218,2.21,4.252,480,profil 8
509870,459090,651,138.09,28.77,7.24,509868,9999999,510218,510268,17.14,3.767,480,profil 8
509870,459090,651,284.99,9.85,23.36,509868,9999999,509918,509968,0.02,217.72,480,profil 8
509870,459090,651,636.85,16.96,-13.4,509868,9999999,509968,510018,0.02,162.172,480,profil 8
509870,459090,651,453.5,15.55,1.94,509868,9999999,510018,510068,0.06,57.742,480,profil 8
509870,459090,651,407.14,17.01,82.15,509868,9999999,510068,510118,0.09,31.103,480,profil 8
509870,459090,651,271.91,22.35,3.46,509868,9999999,510118,510168,0.42,13.848,480,profil 8
509870,459090,651,116.91,24.9,-4.54,509868,9999999,510168,510218,1.39,4.253,480,profil 8
509920,459090,636,501.27,15.69,-1.08,509918,9999999,509968,510018,0.06,418.846,525,profil 8
509920,459090,636,479.88,14.32,17.43,509918,9999999,510018,510068,0.03,133.657,525,profil 8
509920,459090,636,462.82,15.76,48.95,509918,9999999,510068,510118,0.06,64.452,525,profil 8
509920,459090,636,333.23,21.0,-34.32,509918,9999999,510118,510168,0.4,27.843,525,profil 8
509920,459090,636,163.21,23.81,49.31,509918,9999999,510168,510218,1.32,9.091,525,profil 8
509920,459090,636,149.67,25.41,-7.89,509918,9999999,510218,510268,2.22,5.955,525,profil 8
509920,459090,636,57.31,19.87,-27.93,509918,9999999,510268,510318,8.97,1.71,525,profil 8
509920,459090,636,500.98,15.72,1.95,509918,9999999,509968,510018,0.05,418.602,525,profil 8
509920,459090,636,479.61,14.3,13.83,509918,9999999,510018,510068,0.06,133.581,525,profil 8
509920,459090,636,462.54,15.87,52.4,509918,9999999,510068,510118,0.09,64.414,525,profil 8
509920,459090,636,333.0,20.88,-34.81,509918,9999999,510118,510168,0.29,27.824,525,profil 8
509920,459090,636,163.26,24.2,50.09,509918,9999999,510168,510218,0.4,9.094,525,profil 8
509920,459090,636,149.64,25.24,-9.4,509918,9999999,510218,510268,1.44,5.954,525,profil 8
509920,459090,636,57.34,17.33,-26.56,509918,9999999,510268,510318,5.21,1.711,525,profil 8
509970,459090,630,311.62,13.28,16.66,509968,9999999,510018,510068,0.01,272.779,550,profil 8
509970,459090,630,369.19,13.56,61.84,509968,9999999,510068,510118,0.05,107.723,550,profil 8
509970,459090,630,368.73,18.97,0.15,509968,9999999,510118,510168,0.08,53.795,550,profil 8
509970,459090,630,358.46,22.63,61.58,509968,9999999,510218,510268,1.29,20.919,550,profil 8
509970,459090,630,57.47,18.71,-61.01,509968,9999999,510268,510318,5.51,2.396,550,profil 8
509970,459090,630,27.81,10.3,-16.66,509968,9999999,510368,510418,18.44,0.676,550,profil 8
509970,459090,630,44.13,1.57,10.75,509968,9999999,510418,510468,7.07,0.858,550,profil 8
509970,459090,630,28.76,7.93,-26.51,509968,9999999,510468,510518,10.81,0.458,550,profil 8
509970,459090,630,311.48,13.29,17.05,509968,9999999,510018,510068,0.03,272.654,550,profil 8
509970,459090,630,368.89,13.53,65.89,509968,9999999,510068,510118,0.06,107.636,550,profil 8
509970,459090,630,278.82,18.28,-25.9,509968,9999999,510118,510168,0.21,40.678,550,profil 8
509970,459090,630,149.43,20.91,23.27,509968,9999999,510168,510218,1.09,13.08,550,profil 8
509970,459090,630,134.48,24.03,36.22,509968,9999999,510218,510268,1.07,7.848,550,profil 8
509970,459090,630,56.99,18.27,-61.06,509968,9999999,510268,510318,4.54,2.375,550,profil 8
509970,459090,630,44.47,10.08,11.16,509968,9999999,510418,510468,3.83,0.865,550,profil 8
509970,459090,630,28.82,5.34,-28.14,509968,9999999,510468,510518,17.36,0.459,550,profil 8
509970,459090,630,311.81,13.29,17.25,509968,9999999,510018,510068,0.02,272.942,550,profil 8
509970,459090,630,369.27,13.54,67.31,509968,9999999,510068,510118,0.04,107.747,550,profil 8
509970,459090,630,279.1,18.22,-25.08,509968,9999999,510118,510168,0.15,40.719,550,profil 8
509970,459090,630,149.55,21.01,21.86,509968,9999999,510168,510218,0.33,13.091,550,profil 8
509970,459090,630,134.56,23.44,35.75,509968,9999999,510218,510268,0.67,7.852,550,profil 8
509970,459090,630,57.24,17.67,-61.15,509968,9999999,510268,510318,1.69,2.386,550,profil 8
509970,459090,630,44.28,17.55,10.95,509968,9999999,510418,510468,7.94,0.861,550,profil 8
509970,459090,630,28.58,9.91,-28.94,509968,9999999,510468,510518,12.85,0.455,550,profil 8
510020,459090,632,381.47,15.49,64.07,510018,9999999,510068,510118,0.02,251.955,415,profil 8
510020,459090,632,316.9,17.72,-6.67,510018,9999999,510118,510168,0.09,69.77,415,profil 8
510020,459090,632,180.54,19.37,36.49,510018,9999999,510168,510218,0.33,19.874,415,profil 8
510020,459090,632,141.98,23.19,-18.02,510018,9999999,510218,510268,0.28,9.378,415,profil 8
510020,459090,632,69.52,19.7,-26.64,510018,9999999,510268,510318,0.63,3.061,415,profil 8
510020,459090,632,43.17,4.48,-77.07,510018,9999999,510318,510368,7.57,1.358,415,profil 8
510020,459090,632,43.14,2.68,-10.98,510018,9999999,510368,510418,4.22,1.018,415,profil 8
510020,459090,632,54.59,31.01,11.87,510018,9999999,510418,510468,6.43,1.002,415,profil 8
510020,459090,632,381.99,15.48,65.91,510018,9999999,510068,510118,0.02,252.304,415,profil 8
510020,459090,632,317.36,17.72,-10.25,510018,9999999,510118,510168,0.05,69.871,415,profil 8
510020,459090,632,180.8,19.22,42.63,510018,9999999,510168,510218,0.18,19.903,415,profil 8
510020,459090,632,142.15,23.38,-23.19,510018,9999999,510218,510268,0.75,9.389,415,profil 8
510020,459090,632,69.6,18.75,-24.9,510018,9999999,510268,510318,1.51,3.065,415,profil 8
