x;y;z;Rho(ohm.m);M (mV/V);SP (mV);xA (m);xB (m);xM (m);xN (m);Dev. M (mV/V);VMN (mV);IAB (mA)
509500;459464;607;42.12;26.2;18.41;509500;9999999;509550;509600;0.07;57.65;860
509500;459464;607;37.05;18.29;11.61;509500;9999999;509600;509650;1.79;16.905;860
509500;459464;607;30.54;18.79;-17.82;509500;9999999;509650;509700;4;6.968;860
509500;459464;607;24.32;19.55;-24.91;509500;9999999;509700;509750;1.31;3.329;860
509500;459464;607;57.76;11.53;54.65;509500;9999999;509750;509800;1.32;5.27;860
509500;459464;607;96.62;12.15;-24.27;509500;9999999;509800;509850;1.23;6.297;860
509500;459464;607;76.85;17.59;47.77;509500;9999999;509850;509900;1.68;3.757;860
509500;459464;607;92.64;18.78;-83.16;509500;9999999;509900;509950;1.71;3.522;860
509500;459464;607;42.06;26.18;18.55;509500;9999999;509550;509600;0.06;57.567;860
509500;459464;607;37.12;18.33;11.18;509500;9999999;509600;509650;0.7;16.937;860
509500;459464;607;30.25;19.34;-18.5;509500;9999999;509650;509700;1.57;6.9;860
509500;459464;607;24.31;20.34;-24.04;509500;9999999;509700;509750;1.13;3.328;860
509500;459464;607;57.61;11.23;53.76;509500;9999999;509750;509800;1.08;5.257;860
509500;459464;607;96.53;13.58;-24.2;509500;9999999;509800;509850;1.09;6.292;860
509500;459464;607;76.82;18.17;49.92;509500;9999999;509850;509900;2.66;3.755;860
509500;459464;607;92.25;17.47;-84;509500;9999999;509900;509950;4.92;3.507;860
509500;459464;607;141.17;17.32;121.71;509500;9999999;509950;510000;2.2;4.294;860
509500;459464;607;135.08;15.1;-153.65;509500;9999999;510000;510050;0.87;3.362;860
509550;459458;620;48.53;17.93;-9.12;509550;9999999;509600;509650;0.1;52.906;685
509550;459458;620;32.6;23.36;117.96;509550;9999999;509650;509700;1.82;11.847;685
509550;459458;620;19.7;21.69;-131.57;509550;9999999;509700;509750;6.55;3.579;685
509550;459458;620;36.57;13.59;-18.02;509550;9999999;509750;509800;4;3.987;685
509550;459458;620;85.44;14.44;56.31;509550;9999999;509800;509850;2.15;6.21;685
509550;459458;620;63.99;18.11;-29.42;509550;9999999;509850;509900;2.64;3.322;685
509550;459458;620;79.98;21.96;-51.38;509550;9999999;509900;509950;3.85;3.114;685
509550;459458;620;121.83;11.03;13.06;509550;9999999;509950;510000;13.73;3.689;685
509550;459458;620;138.42;22.64;-58.95;509550;9999999;510000;510050;14.76;3.354;685
509550;459458;620;135.72;19.18;-3.74;509550;9999999;510050;510100;9.64;2.69;685
509550;459458;620;48.49;17.97;-8.8;509550;9999999;509600;509650;0.21;52.862;685
509550;459458;620;32.73;22.79;113.53;509550;9999999;509650;509700;5.94;11.894;685
509550;459458;620;36.43;12.5;-16.14;509550;9999999;509750;509800;1.62;3.972;685
509550;459458;620;85.46;14.13;54.25;509550;9999999;509800;509850;0.45;6.212;685
509550;459458;620;63.77;19.86;-24.64;509550;9999999;509850;509900;1.15;3.311;685
509550;459458;620;80.2;21.1;-52.99;509550;9999999;509900;509950;4.81;3.123;685
509550;459458;620;119.81;20.05;10.49;509550;9999999;509950;510000;6.9;3.628;685
509550;459458;620;140.31;11.76;-59.78;509550;9999999;510000;510050;6.92;3.399;685
509550;459458;620;134.52;16.02;0.04;509550;9999999;510050;510100;3.02;2.666;685
509600;459458;609;43.64;18.4;-31.72;509600;9999999;509650;509700;0.04;69.448;1000
509600;459458;609;23.37;27.87;36.16;509600;9999999;509700;509750;0.4;12.397;1000
509600;459458;609;35.13;16.51;-53.57;509600;9999999;509750;509800;0.43;9.32;1000
509600;459458;609;52.73;16.18;12.69;509600;9999999;509800;509850;0.75;8.392;1000
509600;459458;609;60.71;19.78;15.25;509600;9999999;509850;509900;0.69;6.442;1000
509600;459458;609;65.97;18.44;-48.04;509600;9999999;509900;509950;1.47;5;1000
509600;459458;609;104.54;19.06;-23.3;509600;9999999;509950;510000;1.34;5.942;1000
509600;459458;609;119.1;16.2;-46.38;509600;9999999;510000;510050;1.97;5.265;1000
509600;459458;609;135.73;15.36;33.76;509600;9999999;510050;510100;1.67;4.8;1000
509600;459458;609;185.01;14.7;-26.89;509600;9999999;510100;510150;0.66;5.354;1000
509650;459454;604;78.44;27.71;7.04;509650;9999999;509700;509750;0.06;101.115;810
509650;459454;604;67.76;21.24;0.72;509650;9999999;509800;509850;0.11;14.559;810
509650;459454;604;123.48;20.52;-16.06;509650;9999999;509850;509900;0.08;15.919;810
509650;459454;604;56.03;19.32;-29.76;509650;9999999;509900;509950;1.33;4.815;810
509650;459454;604;86.52;18.52;-19.49;509650;9999999;509950;510000;0.76;5.311;810
509650;459454;604;109.71;16.21;-64.43;509650;9999999;510000;510050;1.72;5.051;810
509650;459454;604;119.81;16.76;-7.95;509650;9999999;510050;510100;2.1;4.29;810
509650;459454;604;189.97;14.92;1.65;509650;9999999;510100;510150;0.44;5.442;810
509650;459454;604;130.2;17.14;-20.18;509650;9999999;510150;510200;3.65;3.052;810
509650;459454;604;58.89;30.06;17.04;509650;9999999;509700;509750;0.08;75.921;810
509650;459454;604;33.89;21.38;-1.47;509650;9999999;509750;509800;0.11;14.562;810
509650;459454;604;49.42;19.56;-1.04;509650;9999999;509800;509850;0.23;10.618;810
509650;459454;604;41.04;22.43;-14.23;509650;9999999;509850;509900;0.52;5.291;810
509650;459454;604;56.03;20.29;-28.21;509650;9999999;509900;509950;2.49;4.815;810
509650;459454;604;86.55;19.15;-20.74;509650;9999999;509950;510000;2.88;5.313;810
